date,side,entry_time,exit_time,entry,exit,pts,risk_pts,r_mult,pnl,reason,gap_atr,mode
2026-03-03,1,2026-03-03 09:40:00-05:00,2026-03-03 15:55:00-05:00,6780.5,6825.75,45.25,84.25,0.5370919881305638,224.55,time,-1.3590504451038576,fill
2026-03-06,1,2026-03-06 09:40:00-05:00,2026-03-06 15:55:00-05:00,6729.5,6742.25,12.75,88.82142857142844,0.14354644149577825,62.05,time,-0.9316445516686771,fill
2026-03-16,-1,2026-03-16 09:40:00-04:00,2026-03-16 15:55:00-04:00,6753.75,6754.0,-0.25,102.58928571428532,-0.0024369016536118456,-2.95,time,1.0697998259355963,fill
2026-03-23,-1,2026-03-23 09:40:00-04:00,2026-03-23 15:55:00-04:00,6661.0,6631.75,29.25,109.19642857142844,0.2678659035159447,144.55,time,0.8768601798855274,fill
2026-04-02,1,2026-04-02 09:40:00-04:00,2026-04-02 10:35:00-04:00,6517.25,6619.5,102.25,111.33928571428532,0.9183640737770682,509.55,target,-0.821812349639134,fill
2026-04-08,-1,2026-04-08 09:40:00-04:00,2026-04-08 15:55:00-04:00,6819.5,6823.75,-4.25,107.64285714285688,-0.03948241539482425,-22.95,time,1.6141340411413405,fill
2026-05-15,1,2026-05-15 09:40:00-04:00,2026-05-15 15:55:00-04:00,7432.75,7432.25,-0.5,67.46428571428532,-0.007411328745367963,-4.2,time,-0.9857067231339334,fill
2026-06-05,1,2026-06-05 09:40:00-04:00,2026-06-05 12:05:00-04:00,7540.5,7476.285714285715,-64.21428571428532,63.964285714285325,-1.0039084310441095,-322.7714285714266,stop,-0.8090452261306532,fill
2026-06-08,-1,2026-06-08 09:40:00-04:00,2026-06-08 15:55:00-04:00,7439.0,7415.75,23.25,72.10714285714312,0.32243684992570465,114.55,time,0.7904903417533432,fill
2026-06-15,-1,2026-06-15 09:40:00-04:00,2026-06-15 15:55:00-04:00,7611.5,7630.5,-19.0,95.58928571428532,-0.19876704651597316,-96.7,time,1.7339809452643378,fill
2026-06-18,-1,2026-06-18 09:40:00-04:00,2026-06-18 15:55:00-04:00,7543.75,7564.75,-21.0,112.94642857142844,-0.18592885375494092,-106.7,time,0.7525691699604743,fill
2026-06-23,1,2026-06-23 09:40:00-04:00,2026-06-23 15:55:00-04:00,7437.25,7434.5,-2.75,118.0,-0.023305084745762712,-15.45,time,-0.9364406779661016,fill
2026-07-17,1,2026-07-17 09:40:00-04:00,2026-07-17 15:55:00-04:00,7481.0,7496.25,15.25,78.0,0.1955128205128205,74.55,time,-1.1794871794871795,fill
2026-07-23,1,2026-07-23 09:40:00-04:00,2026-07-23 15:55:00-04:00,7475.0,7443.5,-31.5,71.89285714285688,-0.4381520119225053,-159.2,time,-1.1544957774465971,fill
2026-07-27,-1,2026-07-27 09:40:00-04:00,2026-07-27 10:25:00-04:00,7508.25,7447.75,60.5,71.89285714285688,0.8415300546448118,300.8,target,0.8310978638847492,fill
2026-07-30,-1,2026-07-30 09:40:00-04:00,2026-07-30 15:55:00-04:00,7406.75,7473.0,-66.25,78.125,-0.848,-332.95,time,0.8224,fill
2026-09-01,1,2026-09-01 09:40:00-04:00,2026-09-01 15:55:00-04:00,7644.75,7643.75,-1.0,50.85714285714312,-0.019662921348314506,-6.7,time,-1.002808988764045,fill
2026-09-10,1,2026-09-10 09:40:00-04:00,2026-09-10 15:55:00-04:00,7603.75,7598.25,-5.5,55.42857142857156,-0.09922680412371111,-29.2,time,-0.8208762886597938,fill
2026-09-11,-1,2026-09-11 09:40:00-04:00,2026-09-11 15:55:00-04:00,7673.0,7659.0,14.0,54.464285714285325,0.2570491803278707,68.3,time,1.2255737704918033,fill
2026-09-17,-1,2026-09-17 09:40:00-04:00,2026-09-17 15:55:00-04:00,7692.75,7707.5,-14.75,65.78571428571468,-0.22421281216069358,-75.45,time,1.3870792616720955,fill
