date,side,entry_time,exit_time,entry,exit,pts,risk_pts,r_mult,pnl,reason
2026-01-08,1,2026-01-08 15:30:00-05:00,2026-01-08 15:55:00-05:00,6962.75,6960.5,-2.25,3.875,-0.5806451612903226,-12.95,time
2026-01-09,1,2026-01-09 13:40:00-05:00,2026-01-09 14:00:00-05:00,7012.25,7008.357142857143,-3.892857142856883,3.642857142856883,-1.068627450980397,-21.164285714284414,stop
2026-01-09,1,2026-01-09 15:25:00-05:00,2026-01-09 15:30:00-05:00,7016.75,7014.214285714285,-2.5357142857146755,2.2857142857146755,-1.1093749999999813,-14.378571428573377,stop
2026-01-09,-1,2026-01-09 15:55:00-05:00,2026-01-09 15:55:00-05:00,7009.5,7005.0,4.5,2.732142857143117,1.6470588235292551,20.8,time
2026-01-12,1,2026-01-12 11:15:00-05:00,2026-01-12 14:30:00-05:00,7008.75,7020.267857142857,11.517857142856883,4.607142857143117,2.4999999999998024,55.88928571428441,target
2026-01-13,1,2026-01-13 11:45:00-05:00,2026-01-13 12:15:00-05:00,7009.0,7002.089285714285,-6.9107142857146755,6.6607142857146755,-1.037533512064341,-36.25357142857338,stop
2026-01-13,-1,2026-01-13 13:00:00-05:00,2026-01-13 13:35:00-05:00,6991.75,6998.392857142857,-6.642857142856883,6.392857142856883,-1.0391061452513983,-34.91428571428442,stop
2026-01-13,-1,2026-01-13 15:30:00-05:00,2026-01-13 15:45:00-05:00,6983.0,6987.017857142857,-4.017857142856883,3.767857142856883,-1.0663507109004786,-21.789285714284414,stop
2026-01-14,1,2026-01-14 13:55:00-05:00,2026-01-14 15:05:00-05:00,6940.5,6957.330357142857,16.830357142856883,6.732142857143117,2.499999999999865,82.45178571428441,target
2026-01-14,1,2026-01-14 15:30:00-05:00,2026-01-14 15:55:00-05:00,6954.75,6967.75,13.0,6.4285714285715585,2.0222222222221813,63.3,time
2026-01-15,-1,2026-01-15 13:00:00-05:00,2026-01-15 13:00:00-05:00,7002.0,7006.482142857143,-4.482142857143117,4.232142857143117,-1.0590717299578023,-24.110714285715584,stop
2026-01-15,-1,2026-01-15 14:30:00-05:00,2026-01-15 15:00:00-05:00,6998.0,6987.776785714285,10.223214285714675,4.0892857142853245,2.5000000000003335,49.416071428573375,target
2026-01-16,-1,2026-01-16 13:00:00-05:00,2026-01-16 13:00:00-05:00,6979.0,6983.553571428572,-4.5535714285715585,4.3035714285715585,-1.0580912863070522,-24.467857142857792,stop
2026-01-20,-1,2026-01-20 12:25:00-05:00,2026-01-20 13:30:00-05:00,6879.5,6856.866071428572,22.63392857142844,9.053571428571558,2.49999999999995,111.4696428571422,target
2026-01-21,-1,2026-01-21 11:45:00-05:00,2026-01-21 12:05:00-05:00,6868.75,6850.223214285715,18.526785714285325,7.4107142857146755,2.4999999999998157,90.93392857142662,target
2026-01-21,1,2026-01-21 14:30:00-05:00,2026-01-21 14:40:00-05:00,6901.5,6929.044642857143,27.544642857143117,11.017857142856883,2.5000000000000826,136.0232142857156,target
2026-01-22,-1,2026-01-22 14:00:00-05:00,2026-01-22 14:00:00-05:00,6957.0,6961.267857142857,-4.267857142856883,4.017857142856883,-1.0622222222222262,-23.039285714284414,stop
2026-01-22,-1,2026-01-22 14:40:00-05:00,2026-01-22 14:55:00-05:00,6956.0,6946.044642857143,9.955357142856883,3.982142857143117,2.4999999999997717,48.07678571428441,target
2026-01-23,-1,2026-01-23 12:45:00-05:00,2026-01-23 14:00:00-05:00,6942.0,6948.535714285715,-6.5357142857146755,6.2857142857146755,-1.0397727272727249,-34.37857142857338,stop
2026-01-23,1,2026-01-23 14:25:00-05:00,2026-01-23 14:30:00-05:00,6954.5,6948.803571428572,-5.6964285714284415,5.4464285714284415,-1.0459016393442635,-30.182142857142207,stop
2026-01-26,1,2026-01-26 12:05:00-05:00,2026-01-26 12:45:00-05:00,6989.75,6985.267857142857,-4.482142857143117,4.232142857143117,-1.0590717299578023,-24.110714285715584,stop
2026-01-26,1,2026-01-26 13:30:00-05:00,2026-01-26 13:45:00-05:00,6991.75,6988.214285714285,-3.5357142857146755,3.2857142857146755,-1.0760869565217301,-19.378571428573377,stop
2026-01-26,-1,2026-01-26 15:55:00-05:00,2026-01-26 15:55:00-05:00,6983.25,6980.75,2.5,2.9107142857146755,0.8588957055213574,10.8,time
2026-01-27,-1,2026-01-27 12:20:00-05:00,2026-01-27 12:25:00-05:00,7008.0,7011.071428571428,-3.0714285714284415,2.8214285714284415,-1.0886075949367129,-17.057142857142207,stop
2026-01-27,-1,2026-01-27 13:05:00-05:00,2026-01-27 13:10:00-05:00,7003.5,7006.982142857143,-3.482142857143117,3.232142857143117,-1.0773480662983363,-19.110714285715584,stop
2026-01-27,1,2026-01-27 15:15:00-05:00,2026-01-27 15:15:00-05:00,7017.25,7015.071428571428,-2.1785714285715585,1.9285714285715585,-1.1296296296296209,-12.592857142857792,stop
2026-01-28,-1,2026-01-28 14:30:00-05:00,2026-01-28 14:30:00-05:00,6993.25,6999.446428571428,-6.1964285714284415,5.9464285714284415,-1.0420420420420429,-32.68214285714221,stop
2026-01-29,1,2026-01-29 15:40:00-05:00,2026-01-29 15:55:00-05:00,6977.5,6992.5,15.0,6.0,2.5,73.3,target
2026-01-30,-1,2026-01-30 13:20:00-05:00,2026-01-30 13:25:00-05:00,6928.5,6939.160714285715,-10.660714285714675,10.410714285714675,-1.0240137221269288,-55.00357142857338,stop
2026-02-02,1,2026-02-02 12:05:00-05:00,2026-02-02 13:20:00-05:00,7011.0,7004.642857142857,-6.357142857143117,6.107142857143117,-1.0409356725146182,-33.48571428571559,stop
2026-02-02,-1,2026-02-02 15:00:00-05:00,2026-02-02 15:00:00-05:00,7002.75,7006.732142857143,-3.982142857143117,3.732142857143117,-1.0669856459330096,-21.610714285715584,stop
2026-02-03,-1,2026-02-03 12:15:00-05:00,2026-02-03 12:15:00-05:00,6937.0,6945.821428571428,-8.821428571428442,8.571428571428442,-1.029166666666667,-45.80714285714221,stop
2026-02-03,1,2026-02-03 15:35:00-05:00,2026-02-03 15:55:00-05:00,6934.75,6940.75,6.0,8.821428571428442,0.680161943319848,28.3,time
2026-02-04,-1,2026-02-04 11:45:00-05:00,2026-02-04 12:00:00-05:00,6899.25,6914.410714285715,-15.160714285714675,14.910714285714675,-1.0167664670658678,-77.50357142857338,stop
2026-02-04,1,2026-02-04 14:35:00-05:00,2026-02-04 15:55:00-05:00,6907.75,6906.0,-1.75,11.053571428571558,-0.15831987075928733,-10.45,time
2026-02-05,-1,2026-02-05 13:25:00-05:00,2026-02-05 14:10:00-05:00,6835.5,6846.339285714285,-10.839285714285325,10.589285714285325,-1.0236087689713331,-55.896428571426625,stop
2026-02-06,1,2026-02-06 12:50:00-05:00,2026-02-06 15:40:00-05:00,6931.5,6945.785714285715,14.285714285714675,5.7142857142853245,2.500000000000239,69.72857142857337,target
2026-02-09,-1,2026-02-09 13:30:00-05:00,2026-02-09 13:30:00-05:00,6983.5,6988.25,-4.75,4.5,-1.0555555555555556,-25.45,stop
2026-02-09,1,2026-02-09 14:15:00-05:00,2026-02-09 15:25:00-05:00,6994.25,6988.696428571428,-5.5535714285715585,5.3035714285715585,-1.047138047138046,-29.467857142857792,stop
2026-02-10,-1,2026-02-10 13:20:00-05:00,2026-02-10 13:50:00-05:00,6981.25,6969.866071428572,11.383928571428442,4.5535714285715585,2.4999999999999,55.219642857142205,target
2026-02-10,-1,2026-02-10 15:40:00-05:00,2026-02-10 15:45:00-05:00,6969.75,6974.696428571428,-4.9464285714284415,4.6964285714284415,-1.0532319391634997,-26.432142857142207,stop
2026-02-11,-1,2026-02-11 15:35:00-05:00,2026-02-11 15:35:00-05:00,6959.0,6964.0,-5.0,4.75,-1.0526315789473684,-26.7,stop
