date,ticker,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl
2021-12-29,QQQ,1,2021-12-28,2021-12-29,401.62,401.77,0.14999999999997726,7.499999999998863,12.999999999997726
2021-12-29,SPY,1,2021-12-28,2021-12-29,476.88,477.01,0.12999999999999545,6.499999999999773,10.999999999999545
2021-12-30,QQQ,1,2021-12-29,2021-12-30,401.56,401.3,-0.2599999999999909,-12.999999999999545,-27.99999999999909
2021-12-30,SPY,1,2021-12-29,2021-12-30,477.49,477.92,0.4300000000000068,21.50000000000034,41.00000000000068
2021-12-31,QQQ,1,2021-12-30,2021-12-31,400.36,399.68,-0.6800000000000068,-34.00000000000034,-70.00000000000068
2021-12-31,SPY,1,2021-12-30,2021-12-31,476.17,475.63,-0.5400000000000205,-27.000000000001023,-56.000000000002046
2022-01-03,QQQ,1,2021-12-31,2022-01-03,397.86,399.04,1.1800000000000068,59.00000000000034,116.00000000000068
2022-01-03,SPY,1,2021-12-31,2022-01-03,474.96999999999997,476.32,1.3500000000000227,67.50000000000114,133.00000000000227
2022-01-04,QQQ,1,2022-01-03,2022-01-04,401.69,402.23,0.5400000000000205,27.000000000001023,52.000000000002046
2022-01-04,SPY,1,2022-01-03,2022-01-04,477.71999999999997,479.21000000000004,1.490000000000066,74.5000000000033,147.0000000000066
2022-01-05,QQQ,1,2022-01-04,2022-01-05,396.48,394.73,-1.75,-87.5,-177.0
2022-01-05,SPY,1,2022-01-04,2022-01-05,477.56,477.19,-0.37000000000000455,-18.500000000000227,-39.000000000000455
2022-01-06,SPY,1,2022-01-05,2022-01-06,468.39,467.88,-0.5099999999999909,-25.499999999999545,-52.99999999999909
2022-01-07,SPY,1,2022-01-06,2022-01-07,467.95,467.94,-0.009999999999990905,-0.49999999999954525,-2.9999999999990905
2022-01-10,SPY,1,2022-01-07,2022-01-10,466.09999999999997,462.69,-3.409999999999968,-170.4999999999984,-342.9999999999968
2022-01-11,SPY,1,2022-01-10,2022-01-11,465.52,465.21000000000004,-0.30999999999994543,-15.499999999997272,-32.99999999999454
2022-01-12,SPY,1,2022-01-11,2022-01-12,469.76,471.58,1.8199999999999932,90.99999999999966,179.99999999999932
2022-01-13,SPY,1,2022-01-12,2022-01-13,471.03,472.2,1.170000000000016,58.500000000000796,115.00000000000159
2022-01-14,SPY,1,2022-01-13,2022-01-14,464.53999999999996,461.14,-3.3999999999999773,-169.99999999999886,-341.9999999999977
2022-01-18,SPY,1,2022-01-14,2022-01-18,464.73,459.72,-5.009999999999991,-250.49999999999955,-502.9999999999991
2022-03-25,SPY,1,2022-03-24,2022-03-25,450.5,451.15000000000003,0.6500000000000341,32.500000000001705,63.00000000000341
2022-03-28,SPY,1,2022-03-25,2022-03-28,452.7,452.05,-0.6499999999999773,-32.49999999999886,-66.99999999999773
2022-03-29,SPY,1,2022-03-28,2022-03-29,455.92,460.06,4.139999999999986,206.99999999999932,411.99999999999864
2022-03-30,SPY,1,2022-03-29,2022-03-30,461.56,460.33,-1.2300000000000182,-61.50000000000091,-125.00000000000182
2022-03-30,DIA,1,2022-03-29,2022-03-30,352.98,352.12,-0.8600000000000136,-43.00000000000068,-88.00000000000136
2022-03-31,SPY,1,2022-03-30,2022-03-31,458.71,457.87,-0.839999999999975,-41.99999999999875,-85.9999999999975
2022-03-31,DIA,1,2022-03-30,2022-03-31,352.13,351.06,-1.0699999999999932,-53.49999999999966,-108.99999999999932
2022-04-01,SPY,1,2022-03-31,2022-04-01,451.65,453.31,1.660000000000025,83.00000000000125,164.0000000000025
2022-04-04,SPY,1,2022-04-01,2022-04-04,452.93,453.12,0.18999999999999773,9.499999999999886,16.999999999999773
2022-04-04,DIA,1,2022-04-01,2022-04-04,348.02,347.63,-0.38999999999998636,-19.499999999999318,-40.999999999998636
2022-04-05,SPY,1,2022-04-04,2022-04-05,456.81,455.21000000000004,-1.599999999999966,-79.9999999999983,-161.9999999999966
2022-04-05,DIA,1,2022-04-04,2022-04-05,349.25,347.81,-1.4399999999999977,-71.99999999999989,-145.99999999999977
2022-04-06,DIA,1,2022-04-05,2022-04-06,346.34999999999997,343.6,-2.749999999999943,-137.49999999999716,-276.9999999999943
2022-04-06,SPY,1,2022-04-05,2022-04-06,451.03999999999996,446.88,-4.159999999999968,-207.9999999999984,-417.9999999999968
2022-04-07,SPY,1,2022-04-06,2022-04-07,446.53,445.6,-0.92999999999995,-46.4999999999975,-94.999999999995
